rock_out,featset,hidden,act,alpha,inner_mape
r1,md_beta9,"(16, 8, 4)",tanh,5.0,38.82191752611961
r1,md_beta9,"(16, 8, 4)",tanh,10.0,40.119479601831074
r1,md_beta9,"(24, 12, 6)",tanh,0.5,58.635798791810814
r1,md_beta9,"(24, 12, 6)",tanh,1.0,52.06439379856114
r1,md_beta9,"(24, 12, 6)",tanh,2.0,50.9132354130028
r1,md_beta9,"(24, 12, 6)",tanh,3.0,43.97350120122817
r1,md_beta9,"(24, 12, 6)",tanh,5.0,38.76684759634075
r1,md_beta9,"(24, 12, 6)",tanh,10.0,38.59280481932301
r1,md_full11,"(8,)",tanh,0.5,30.457781474791908
r1,md_full11,"(8,)",tanh,1.0,28.656732013213087
r1,md_full11,"(8,)",tanh,2.0,27.4199891865336
r1,md_full11,"(8,)",tanh,3.0,26.31804278208684
r1,md_full11,"(8,)",tanh,5.0,26.916300280366915
r1,md_full11,"(8,)",tanh,10.0,30.93916510146238
r1,md_full11,"(12,)",tanh,0.5,32.425043631100515
r1,md_full11,"(12,)",tanh,1.0,30.167184946298327
r1,md_full11,"(12,)",tanh,2.0,29.66208341499981
r1,md_full11,"(12,)",tanh,3.0,26.850688444935287
r1,md_full11,"(12,)",tanh,5.0,26.856664684899776
r1,md_full11,"(12,)",tanh,10.0,30.969396938428712
r1,md_full11,"(4, 2)",tanh,0.5,33.119998769020086
r1,md_full11,"(4, 2)",tanh,1.0,34.912189800227
r1,md_full11,"(4, 2)",tanh,2.0,31.468052620554182
r1,md_full11,"(4, 2)",tanh,3.0,29.331259008234674
r1,md_full11,"(4, 2)",tanh,5.0,27.71802913307476
r1,md_full11,"(4, 2)",tanh,10.0,33.1671878125651
r1,md_full11,"(6, 3)",tanh,0.5,32.21148248830344
r1,md_full11,"(6, 3)",tanh,1.0,29.155563299849085
r1,md_full11,"(6, 3)",tanh,2.0,29.20715974328757
r1,md_full11,"(6, 3)",tanh,3.0,23.32594440547889
r1,md_full11,"(6, 3)",tanh,5.0,25.096232963507937
r1,md_full11,"(6, 3)",tanh,10.0,30.221226832254064
r1,md_full11,"(8, 4)",tanh,0.5,33.128115751772974
r1,md_full11,"(8, 4)",tanh,1.0,31.81923273812442
r1,md_full11,"(8, 4)",tanh,2.0,28.570603468492894
r1,md_full11,"(8, 4)",tanh,3.0,26.487498454613096
r1,md_full11,"(8, 4)",tanh,5.0,25.158449325237903
r1,md_full11,"(8, 4)",tanh,10.0,29.26512292573592
r1,md_full11,"(10, 5)",tanh,0.5,31.35714917579632
r1,md_full11,"(10, 5)",tanh,1.0,33.46036412533273
r1,md_full11,"(10, 5)",tanh,2.0,30.082912744974998
r1,md_full11,"(10, 5)",tanh,3.0,27.788126484875328
r1,md_full11,"(10, 5)",tanh,5.0,24.94443702170245
r1,md_full11,"(10, 5)",tanh,10.0,29.11523635523068
r1,md_full11,"(12, 6)",tanh,0.5,29.358363385639365
r1,md_full11,"(12, 6)",tanh,1.0,29.381481737666547
r1,md_full11,"(12, 6)",tanh,2.0,30.984875659239464
r1,md_full11,"(12, 6)",tanh,3.0,27.35757719161869
r1,md_full11,"(12, 6)",tanh,5.0,25.542193555933963
r1,md_full11,"(12, 6)",tanh,10.0,28.212889397372837
r1,md_full11,"(16, 8)",tanh,0.5,34.36700495175891
r1,md_full11,"(16, 8)",tanh,1.0,34.25985639356156
r1,md_full11,"(16, 8)",tanh,2.0,30.73020282473104
r1,md_full11,"(16, 8)",tanh,3.0,28.45772673838929
r1,md_full11,"(16, 8)",tanh,5.0,25.448749845218217
r1,md_full11,"(16, 8)",tanh,10.0,28.938045206937986
r1,md_full11,"(20, 10)",tanh,0.5,33.86467881338323
r1,md_full11,"(20, 10)",tanh,1.0,31.298445928394376
r1,md_full11,"(20, 10)",tanh,2.0,30.829249961105116
r1,md_full11,"(20, 10)",tanh,3.0,28.43772462504036
r1,md_full11,"(20, 10)",tanh,5.0,25.324365143484336
r1,md_full11,"(20, 10)",tanh,10.0,28.93936244354236
r1,md_full11,"(24, 12)",tanh,0.5,31.94001168306437
r1,md_full11,"(24, 12)",tanh,1.0,31.582458002576917
r1,md_full11,"(24, 12)",tanh,2.0,31.2031061004686
r1,md_full11,"(24, 12)",tanh,3.0,28.100856805687577
r1,md_full11,"(24, 12)",tanh,5.0,25.73153914533346
r1,md_full11,"(24, 12)",tanh,10.0,28.65870585417407
r1,md_full11,"(8, 8)",tanh,0.5,35.6129852963458
r1,md_full11,"(8, 8)",tanh,1.0,30.875429313782867
r1,md_full11,"(8, 8)",tanh,2.0,28.11051050157995
r1,md_full11,"(8, 8)",tanh,3.0,28.379886765923885
r1,md_full11,"(8, 8)",tanh,5.0,26.616019177857545
r1,md_full11,"(8, 8)",tanh,10.0,29.35010572811436
r1,md_full11,"(16, 16)",tanh,0.5,30.471508677365883
r1,md_full11,"(16, 16)",tanh,1.0,31.89952655597568
r1,md_full11,"(16, 16)",tanh,2.0,32.35751436590861
r1,md_full11,"(16, 16)",tanh,3.0,30.100633827750016
r1,md_full11,"(16, 16)",tanh,5.0,24.6526103370892
r1,md_full11,"(16, 16)",tanh,10.0,28.699832717579017
r1,md_full11,"(8, 4, 2)",tanh,0.5,34.602357985669
r1,md_full11,"(8, 4, 2)",tanh,1.0,29.03658009515508
r1,md_full11,"(8, 4, 2)",tanh,2.0,25.06584181333889
r1,md_full11,"(8, 4, 2)",tanh,3.0,24.509346377250537
r1,md_full11,"(8, 4, 2)",tanh,5.0,25.598089398142665
r1,md_full11,"(8, 4, 2)",tanh,10.0,31.87268802694726
r1,md_full11,"(12, 6, 3)",tanh,0.5,31.081399637078896
r1,md_full11,"(12, 6, 3)",tanh,1.0,29.03938011979246
r1,md_full11,"(12, 6, 3)",tanh,2.0,27.94376032316859
r1,md_full11,"(12, 6, 3)",tanh,3.0,25.862190404764704
r1,md_full11,"(12, 6, 3)",tanh,5.0,25.221724728316094
r1,md_full11,"(12, 6, 3)",tanh,10.0,29.365879881561348
r1,md_full11,"(16, 8, 4)",tanh,0.5,31.04226500868223
r1,md_full11,"(16, 8, 4)",tanh,1.0,29.14711451531462
r1,md_full11,"(16, 8, 4)",tanh,2.0,28.62771520276891
r1,md_full11,"(16, 8, 4)",tanh,3.0,26.177570736268034
r1,md_full11,"(16, 8, 4)",tanh,5.0,24.359140701317987
r1,md_full11,"(16, 8, 4)",tanh,10.0,29.235793838336747
r1,md_full11,"(24, 12, 6)",tanh,0.5,34.652065425448825
r1,md_full11,"(24, 12, 6)",tanh,1.0,31.56218944198282
r1,md_full11,"(24, 12, 6)",tanh,2.0,30.925960444947226
r1,md_full11,"(24, 12, 6)",tanh,3.0,27.959832703857824
r1,md_full11,"(24, 12, 6)",tanh,5.0,25.082536510489295
r1,md_full11,"(24, 12, 6)",tanh,10.0,28.84493457801869
r11,md_zeta9,"(8,)",tanh,0.5,30.54839193267344
r11,md_zeta9,"(8,)",tanh,1.0,30.35303972792756
r11,md_zeta9,"(8,)",tanh,2.0,30.815051770771664
r11,md_zeta9,"(8,)",tanh,3.0,30.125788766220875
r11,md_zeta9,"(8,)",tanh,5.0,29.81219755240989
r11,md_zeta9,"(8,)",tanh,10.0,34.95234453757314
r11,md_zeta9,"(12,)",tanh,0.5,35.72015859515527
r11,md_zeta9,"(12,)",tanh,1.0,31.869694905063927
r11,md_zeta9,"(12,)",tanh,2.0,28.90863296690987
r11,md_zeta9,"(12,)",tanh,3.0,29.24150876913751
r11,md_zeta9,"(12,)",tanh,5.0,30.20657378456156
r11,md_zeta9,"(12,)",tanh,10.0,35.068296260165326
r11,md_zeta9,"(4, 2)",tanh,0.5,34.93189505417634
r11,md_zeta9,"(4, 2)",tanh,1.0,28.65892979756696
r11,md_zeta9,"(4, 2)",tanh,2.0,27.058416523528148
r11,md_zeta9,"(4, 2)",tanh,3.0,26.40848159927037
r11,md_zeta9,"(4, 2)",tanh,5.0,27.60502350831508
r11,md_zeta9,"(4, 2)",tanh,10.0,33.807508676277806
r11,md_zeta9,"(6, 3)",tanh,0.5,30.03267452061088
r11,md_zeta9,"(6, 3)",tanh,1.0,28.164208959910603
r11,md_zeta9,"(6, 3)",tanh,2.0,26.45403612515636
r11,md_zeta9,"(6, 3)",tanh,3.0,25.353346752091134
r11,md_zeta9,"(6, 3)",tanh,5.0,26.169843577388963
r11,md_zeta9,"(6, 3)",tanh,10.0,32.516484930648915
r11,md_zeta9,"(8, 4)",tanh,0.5,32.51076809135596
r11,md_zeta9,"(8, 4)",tanh,1.0,29.193268419828293
r11,md_zeta9,"(8, 4)",tanh,2.0,27.0472774163723
r11,md_zeta9,"(8, 4)",tanh,3.0,26.21741713209533
r11,md_zeta9,"(8, 4)",tanh,5.0,25.218405699853523
r11,md_zeta9,"(8, 4)",tanh,10.0,33.06155566105822
r11,md_zeta9,"(10, 5)",tanh,0.5,28.980973200480832
r11,md_zeta9,"(10, 5)",tanh,1.0,27.193842628783635
r11,md_zeta9,"(10, 5)",tanh,2.0,25.352914992236894
r11,md_zeta9,"(10, 5)",tanh,3.0,25.3799820548506
r11,md_zeta9,"(10, 5)",tanh,5.0,25.47003229394628
r11,md_zeta9,"(10, 5)",tanh,10.0,32.043255198413505
r11,md_zeta9,"(12, 6)",tanh,0.5,28.54633501378559
r11,md_zeta9,"(12, 6)",tanh,1.0,30.14273645729022
r11,md_zeta9,"(12, 6)",tanh,2.0,27.576998470277022
r11,md_zeta9,"(12, 6)",tanh,3.0,26.245337624352857
r11,md_zeta9,"(12, 6)",tanh,5.0,25.512393906526267
r11,md_zeta9,"(12, 6)",tanh,10.0,32.5867765742729
r11,md_zeta9,"(16, 8)",tanh,0.5,28.656837707043174
r11,md_zeta9,"(16, 8)",tanh,1.0,28.18744833549688
r11,md_zeta9,"(16, 8)",tanh,2.0,27.69983951458793
r11,md_zeta9,"(16, 8)",tanh,3.0,27.08412104328769
r11,md_zeta9,"(16, 8)",tanh,5.0,26.93608661352852
r11,md_zeta9,"(16, 8)",tanh,10.0,32.00939645422035
r11,md_zeta9,"(20, 10)",tanh,0.5,31.277780521347456
r11,md_zeta9,"(20, 10)",tanh,1.0,29.71707599396633
r11,md_zeta9,"(20, 10)",tanh,2.0,26.89319924945208
r11,md_zeta9,"(20, 10)",tanh,3.0,26.633425725601256
r11,md_zeta9,"(20, 10)",tanh,5.0,26.28685120774113
r11,md_zeta9,"(20, 10)",tanh,10.0,31.79153820445073
r11,md_zeta9,"(24, 12)",tanh,0.5,28.11788027002417
r11,md_zeta9,"(24, 12)",tanh,1.0,28.56278552435684
r11,md_zeta9,"(24, 12)",tanh,2.0,28.209978366975275
r11,md_zeta9,"(24, 12)",tanh,3.0,26.613176345534697
r11,md_zeta9,"(24, 12)",tanh,5.0,26.32972391839038
r11,md_zeta9,"(24, 12)",tanh,10.0,31.955183992647044
r11,md_zeta9,"(8, 8)",tanh,0.5,31.981348505385967
r11,md_zeta9,"(8, 8)",tanh,1.0,31.58600772862961
r11,md_zeta9,"(8, 8)",tanh,2.0,27.06007395988964
r11,md_zeta9,"(8, 8)",tanh,3.0,26.377371362955135
r11,md_zeta9,"(8, 8)",tanh,5.0,26.72728921248777
r11,md_zeta9,"(8, 8)",tanh,10.0,31.99181913610712
r11,md_zeta9,"(16, 16)",tanh,0.5,30.316401126645317
r11,md_zeta9,"(16, 16)",tanh,1.0,27.72627828232769
r11,md_zeta9,"(16, 16)",tanh,2.0,28.65577905520139
r11,md_zeta9,"(16, 16)",tanh,3.0,27.86006308326075
r11,md_zeta9,"(16, 16)",tanh,5.0,26.26382801986976
r11,md_zeta9,"(16, 16)",tanh,10.0,31.997539899055045
r11,md_zeta9,"(8, 4, 2)",tanh,0.5,28.698442063491186
r11,md_zeta9,"(8, 4, 2)",tanh,1.0,26.842872228484897
r11,md_zeta9,"(8, 4, 2)",tanh,2.0,26.277991015659147
r11,md_zeta9,"(8, 4, 2)",tanh,3.0,24.68527710805328
r11,md_zeta9,"(8, 4, 2)",tanh,5.0,25.31256980182923
r11,md_zeta9,"(8, 4, 2)",tanh,10.0,31.45403543725048
r11,md_zeta9,"(12, 6, 3)",tanh,0.5,27.06455345369428
r11,md_zeta9,"(12, 6, 3)",tanh,1.0,27.9169418509305
r11,md_zeta9,"(12, 6, 3)",tanh,2.0,26.13106508652668
r11,md_zeta9,"(12, 6, 3)",tanh,3.0,26.02095836501872
r11,md_zeta9,"(12, 6, 3)",tanh,5.0,26.050783402845507
r11,md_zeta9,"(12, 6, 3)",tanh,10.0,31.14502267225045
r11,md_zeta9,"(16, 8, 4)",tanh,0.5,28.263965880945243
r11,md_zeta9,"(16, 8, 4)",tanh,1.0,26.444503076987843
r11,md_zeta9,"(16, 8, 4)",tanh,2.0,26.409525683950143
r11,md_zeta9,"(16, 8, 4)",tanh,3.0,26.01304333127133
r11,md_zeta9,"(16, 8, 4)",tanh,5.0,25.73541969208883
r11,md_zeta9,"(16, 8, 4)",tanh,10.0,30.76040653088601
r11,md_zeta9,"(24, 12, 6)",tanh,0.5,27.8735093054651
